station_id,physical_configuration,latitud,longitud,address,post_code,capacity,last_updated
163.0,ELECTRICBIKESTATION,41.3942108,2.2008756,"AV. ICÃRIA, 202",08005,27.0,1759269304.0
164.0,ELECTRICBIKESTATION,41.4118378,2.1778852,"C/ INDEPENDÃNCIA, 379",08026,27.0,1759269304.0
165.0,ELECTRICBIKESTATION,41.3992169,2.2041415,"C/ DEL DOCTOR TRUETA, 222",08005,27.0,1759269304.0
166.0,ELECTRICBIKESTATION,41.4008312,2.206645,"C/ BILBAO, 2",08005,27.0,1759269304.0
167.0,ELECTRICBIKESTATION,41.4023354,2.2105777,"C/ BAC DE RODA, 11",08005,21.0,1759269304.0
168.0,ELECTRICBIKESTATION,41.4053697,2.2135818,SELVA DE MAR / PG. DEL TAULAT,08019,27.0,1759269304.0
170.0,ELECTRICBIKESTATION,41.3896642,2.1999572,"AV. LITORAL, 40 (D)",08005,54.0,1759269304.0
171.0,ELECTRICBIKESTATION,41.3919877,2.2037136,"AV. LITORAL, 172",08005,54.0,1759269304.0
173.0,ELECTRICBIKESTATION,41.3979002,2.2088454,"AV.LITORAL, 84",08005,26.0,1759269304.0
174.0,ELECTRICBIKESTATION,41.400654,2.210191,"PG. DE GARCIA FÃRIA, 21/ESPRONCEDA",08005,27.0,1759269304.0
175.0,ELECTRICBIKESTATION,41.4065291,2.2091221,"C/ LLULL, 309",08019,27.0,1759269304.0
176.0,ELECTRICBIKESTATION,41.403216,2.2136,"PG. DE GARCIA FÃRIA, 37/JOSEP FERRATER",08019,31.0,1759269304.0
177.0,ELECTRICBIKESTATION,41.4110754,2.1809764,"C/ ROSSELLÃ, 557",08026,38.0,1759269304.0
178.0,ELECTRICBIKESTATION,41.4053649,2.2162094,"PG. DE GARCIA FÃRIA, 85",08019,27.0,1759269304.0
180.0,ELECTRICBIKESTATION,41.3675574,2.1388216,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",08014,51.0,1759269304.0
182.0,ELECTRICBIKESTATION,41.371366,2.143565,"C/ SANT PERE DÂ´ABANTO, 2",08014,33.0,1759269304.0
183.0,ELECTRICBIKESTATION,41.3723682,2.1419494,"C/ GAVÃ, 1",08014,30.0,1759269304.0
184.0,ELECTRICBIKESTATION,41.3675438,2.1342316,"C/ QUETZAL, 22-24",08014,27.0,1759269304.0
185.0,ELECTRICBIKESTATION,41.3703717,2.1389439,"C/GAVÃ, 81",08014,17.0,1759269304.0
186.0,ELECTRICBIKESTATION,41.3755503,2.1439036,"C/CONSELL DE CENT, 6",08014,26.0,1759269304.0
187.0,ELECTRICBIKESTATION,41.3768806,2.1698206,"C/ DE SANT PAU, 89 - 97",08001,15.0,1759269304.0
188.0,ELECTRICBIKESTATION,41.3756948,2.1358571,PG. SANT ANTONI /PL. SANTS,08014,27.0,1759269304.0
189.0,ELECTRICBIKESTATION,41.3969839,2.1661852,"C/ BRUC, 130",08037,28.0,1759269304.0
190.0,ELECTRICBIKESTATION,41.3961412,2.2078439,"AV. LITORAL, 72",08005,29.0,1759269304.0
191.0,ELECTRICBIKESTATION,41.381951,2.147474,"C/ ENTENÃA, 137",08015,37.0,1759269304.0
192.0,ELECTRICBIKESTATION,41.3786364,2.1335494,"C/ JOAN GÃELL, 50",08028,21.0,1759269304.0
193.0,ELECTRICBIKESTATION,41.3812979,2.1289917,"C/ FÃGOLS, 1",08028,27.0,1759269304.0
194.0,ELECTRICBIKESTATION,41.3812001,2.1323612,"C/ JOAN GÃELL, 98",08028,24.0,1759269304.0
195.0,ELECTRICBIKESTATION,41.3821371,2.1354149,"C/ VALLESPIR, 130",08014,27.0,1759269304.0
196.0,ELECTRICBIKESTATION,41.3832609,2.1392662,"C/ BERLÃN, 38",08029,27.0,1759269304.0
197.0,ELECTRICBIKESTATION,41.3871579,2.1410945,"C/ GELABERT, 1",08029,27.0,1759269304.0
198.0,ELECTRICBIKESTATION,41.3847113,2.1334379,"C/ VALLESPIR, 194",08014,27.0,1759269304.0
199.0,ELECTRICBIKESTATION,41.3819739,2.1268625,"C/ MEJÃA LEQUERICA, 2",08028,27.0,1759269304.0
